,iteration,train error,test error
373,374.0,0.005,0.1408
374,375.0,0.005,0.1406
375,376.0,0.005,0.1406
376,377.0,0.005,0.1404
377,378.0,0.005,0.1406
378,379.0,0.005,0.1406
379,380.0,0.005,0.1406
380,381.0,0.005,0.14
381,382.0,0.005,0.1402
382,383.0,0.005,0.14
383,384.0,0.0048,0.1404
384,385.0,0.005,0.1402
385,386.0,0.0048,0.14
386,387.0,0.005,0.1396
387,388.0,0.0048,0.1402
388,389.0,0.005,0.1398
389,390.0,0.0048,0.14
390,391.0,0.0048,0.1398
391,392.0,0.0048,0.1398
392,393.0,0.005,0.1398
393,394.0,0.005,0.1398
394,395.0,0.005,0.1398
395,396.0,0.005,0.1398
396,397.0,0.005,0.1398
397,398.0,0.0048,0.1402
398,399.0,0.0048,0.14
399,400.0,0.0048,0.1402
400,401.0,0.005,0.1398
401,402.0,0.0048,0.1402
402,403.0,0.0048,0.14
403,404.0,0.0048,0.1402
404,405.0,0.0048,0.14
405,406.0,0.0048,0.14
406,407.0,0.0048,0.14
407,408.0,0.0048,0.1398
408,409.0,0.0048,0.14
409,410.0,0.0048,0.14
410,411.0,0.0048,0.14
411,412.0,0.0048,0.14
412,413.0,0.0048,0.14
413,414.0,0.0048,0.14
414,415.0,0.0048,0.1398
415,416.0,0.0048,0.1398
416,417.0,0.0048,0.1398
417,418.0,0.0048,0.14
418,419.0,0.005,0.14
419,420.0,0.0048,0.14
420,421.0,0.005,0.1398
421,422.0,0.005,0.1398
422,423.0,0.005,0.1398
423,424.0,0.005,0.14
424,425.0,0.005,0.1398
425,426.0,0.005,0.14
426,427.0,0.005,0.14
427,428.0,0.005,0.1402
428,429.0,0.005,0.1398
429,430.0,0.005,0.14
430,431.0,0.005,0.1394
431,432.0,0.005,0.1402
432,433.0,0.005,0.14
433,434.0,0.005,0.1402
434,435.0,0.005,0.14
435,436.0,0.005,0.1402
436,437.0,0.005,0.14
437,438.0,0.005,0.1402
438,439.0,0.0052,0.1404
439,440.0,0.0052,0.1402
440,441.0,0.0052,0.14
441,442.0,0.005,0.1404
442,443.0,0.005,0.1404
443,444.0,0.005,0.1402
444,445.0,0.005,0.1402
445,446.0,0.005,0.1402
446,447.0,0.005,0.14
447,448.0,0.005,0.14
448,449.0,0.005,0.14
449,450.0,0.005,0.14
450,451.0,0.005,0.14
451,452.0,0.005,0.14
452,453.0,0.005,0.14
453,454.0,0.005,0.1402
454,455.0,0.005,0.1402
455,456.0,0.005,0.1402
456,457.0,0.005,0.14
457,458.0,0.005,0.1402
458,459.0,0.005,0.1398
459,460.0,0.005,0.1398
460,461.0,0.005,0.14
461,462.0,0.0048,0.14
462,463.0,0.0048,0.1402
463,464.0,0.0048,0.1402
464,465.0,0.0048,0.14
465,466.0,0.0048,0.1402
466,467.0,0.0048,0.1396
467,468.0,0.0048,0.14
468,469.0,0.0048,0.1396
469,470.0,0.0048,0.14
470,471.0,0.0048,0.1398
471,472.0,0.0048,0.14
472,473.0,0.0048,0.1394
473,474.0,0.0048,0.1396
474,475.0,0.0048,0.1392
475,476.0,0.0048,0.1394
476,477.0,0.0048,0.1392
477,478.0,0.0048,0.1392
478,479.0,0.0048,0.1392
479,480.0,0.0048,0.1394
480,481.0,0.0048,0.1392
481,482.0,0.0048,0.1394
482,483.0,0.0048,0.139
483,484.0,0.0048,0.1392
484,485.0,0.0048,0.139
485,486.0,0.0048,0.1392
486,487.0,0.005,0.1392
487,488.0,0.0048,0.1396
488,489.0,0.0048,0.1392
489,490.0,0.0048,0.1392
490,491.0,0.0048,0.1394
491,492.0,0.0048,0.1396
492,493.0,0.0048,0.1394
493,494.0,0.0048,0.1396
494,495.0,0.0048,0.1394
495,496.0,0.0048,0.1396
496,497.0,0.0048,0.1396
497,498.0,0.0048,0.1398
498,499.0,0.0048,0.1394
499,500.0,0.0048,0.1396
